Category,Name,Phone,Area,Tags
Electrician,Mayur Electricians,9925185350,Station Road,Emergency
Electrician,Bhanu Electric Services,9879326177,Jubilee Ground,Maintenance
Electrician,Bapa Sitaram Electric,9979354091,Sanskar Nagar,Residential
Electrician,Ravi Electricals,9879177111,Old City,Commercial
Electrician,Sama Electrician,8128527027,Camp Area,24x7
Plumber,Krishna Plumbing Service,9925343091,Paddhar,Residential
Plumber,Girishbhai Plumber,9825708269,Din Dayal Nagar,10am-8pm
Plumber,Kaushik Patel Plumber,9909244093,Din Dayal Nagar,24x7
Plumber,Mehran Plumbing,9727456789,Bhuj HO,Highly Rated
Carpenter,Soylo Interior,9825227771,Bhuj HO,Furniture
Carpenter,Patel Home Services,9825166699,Madapar,Repairs
Carpenter,Tushar N Jamanapara,9426211234,Bhuj HO,Woodwork
Carpenter,L.R. Furniture,9825411222,Station Road,Decor
AC/Fridge Repair,Mannubhai AC Repair,7065012902,Bhuj HO,AC Repair
AC/Fridge Repair,Shital Cooling,09909418799,College Road,Cooling Specialist
AC/Fridge Repair,Gayatri Refrigeration,9825199888,Hospital Road,Fridge
Auto/Taxi,Raju Auto,9824211111,Bus Station,Auto
Auto/Taxi,Kutch Cabs,9909012312,Airport Road,Taxi
Medical,Jalaram Medico,02832250000,Hospital Road,24x7
Medical,Relief Pharmacy,02832222222,Bus Station,Chemist
Computer Repair,Pioneer Computer Services,9825034580,Station Road,Since 1993
CCTV Installation,Pioneer Computer Services,9825034580,Station Road,Since 1993
Masons,Sai Construction,9825211223,Bhuj HO,Contractor
Masons,Maheshbhai Mason,9727455666,Madapar,Brickwork
Masons,Total Secure Waterproofing,9879555444,Sanskar Nagar,Waterproofing
Masons,Handyservices In,9998877766,College Road,General Repairs
Kirana Stores,Swagat Grocery,9825111222,Station Road,Home Delivery
Kirana Stores,Dainik Needs,9909988777,Sanskar Nagar,Daily Essentials
Kirana Stores,Jalaram Provision,02832225566,Lal Tekri,Wholesale
Tuition Classes,Phoenix Education,9327164588,Uplipad Road,Commerce|Science
Tuition Classes,Sumati Study Centre,9825233444,Ghanshyam Nagar,5th to 12th
Tuition Classes,Seven Star Tuition,9925188888,Silver Park,English Medium
Schools,Army Public School,02832223309,Madhapar Road,CBSE
Schools,St Xaviers School,02832250011,Airport Road,English Medium
Schools,Mom's School,9825018335,New Lotus Colony,Kindergarten
Schools,Doon Public School,02832652001,Madhapar,Public School
Nurses,Shubh Aarogyam,9879512345,Bhuj HO,Home Care
Nurses,Care At Homes,9909911223,Sanskar Nagar,Patient Care
Nurses,Medilink Healthcare,9426255666,Hospital Road,IV Infusion
Insurance Agents,LIC of India,02832220260,Sanskar Nagar,Life Insurance
Insurance Agents,Bajaj Life Insurance,02067121212,RTO Relocation,Private
Insurance Agents,HDFC Life,8657510957,RTO Relocation,Life|Health
Share Brokers,Sharekhan Ltd,8069955100,Mirzapar Highway,Trading
Share Brokers,Motilal Oswal,02832255888,Sanskarnagar,Demat
Share Brokers,Angel One,8044952453,RTO Ring Road,Discount Broker
Mutual Fund Advisors,Kiran Patel,9227542850,Golden Palace,Advisor
Mutual Fund Advisors,Finnovate Financial,9998887776,Bhuj HO,Financial Planning
Financial Advisors,Abhay Joshi,9825233111,Bhuj HO,Investment
Financial Advisors,Vishva Accounting,9879512121,Station Road,Accounting|Tax
Banks,State Bank of India,02832250436,Station Road,Govt Bank
Banks,HDFC Bank,18602676161,Jubilee Circle,Private Bank
Banks,ICICI Bank,9898278000,Station Road,ATM|Branch
Banks,Bank of Baroda,02832229712,College Road,Nationalized
Website Designers,Infinitie Technologies,9879511222,Station Road,Web|App
Website Designers,WRTeam,9797945459,Time Square Empire,Software|App
Website Designers,Bigimmense IT,7417890719,Bhuj HO,SEO|Web
Pest Control,Deccan Pest Control,9666648420,Bhuj HO,Termite|Cockroach
Pest Control,Universal Pest Control,9099459608,Madhapar,Bed Bugs
Pest Control,Muskan Pest Control,9825123456,Bohra Colony,Residential
Tank Cleaning,Mannubhai Cleaning,7065012902,Bhuj HO,Tank|Sump
Tank Cleaning,Pratham Tank Cleaning,9879123456,Suncity Road,Mechanized
Restaurants,Umiyaji Dining Hall,08511186826,Station Road,Gujarati Thali
Restaurants,Viram Garden,02832250000,Sanskar Nagar,Garden|Punjabi
Restaurants,Nityanand Restaurant,02832220000,Station Road,AC|Family
Restaurants,Toral Restaurant,02832225000,Town Hall,Authentic
Hotels,Hotel Nest,7041458336,Station Road,Budget|Clean
Hotels,Click Hotel,7226933310,Station Road,Business
Hotels,Hotel White Desert,9913845450,Bhuj HO,Luxury
Homestays,Raahghar Homestays,7021819015,Bhuj Outskirts,Cultural
Homestays,Sharad Baug Homestay,02832220022,City Center,Heritage
Hospitals,MMPJ Hospital,9574230132,Bhuj HO,Emergency|24x7
Hospitals,KK Patel Super Speciality,7359007000,Bhuj HO,Multi-Speciality
Hospitals,GK General Hospital,02832250150,Lotus Colony,Govt Hospital
Hospitals,Aayush Hospitals,7573888921,Bhuj HO,Emergency
Hospitals,Om Hospital,02832255111,Hospital Road,General
Laboratories,Metropolis Healthcare,07941057323,Hospital Road,Blood Test
Laboratories,Sterling Accuris,8128130000,Lotus Colony,Diagnostics
Laboratories,Bhagat Laboratory,02832254206,Vijay Nagar,Pathology
Tank Cleaning,No Name,9879906848,9265187477,Tank Cleaning
Insurance Agents,Hiral Thacker,9879359789,Bhuj,Insurance Manager
Mutual Fund Advisors,Ashok C. Thacker,7990766093,Bhuj,Mutual Fund Advisor
Bike/Scooter Repair,,,Bhuj,Test
Car Mechanic,,,Bhuj,Test
Tyre/Puncture Shop,,,Bhuj,Test
Inverter/Battery Dealers,,,Bhuj,Test
Solar Panel Installation,,,Bhuj,Test
Water Purifier Service,,,Bhuj,Test
Civil Contractor,,,Bhuj,Test
Interior Designer,,,Bhuj,Test
POP/False Ceiling,,,Bhuj,Test
Modular Kitchen,,,Bhuj,Test
Aluminium Fabrication,,,Bhuj,Test
Real Estate Agents,,,Bhuj,Test
House/Shop Rentals,,,Bhuj,Test
PG/Hostels,,,Bhuj,Test
Construction Material,,,Bhuj,Test
Transport/Tempo Services,,,Bhuj,Test
Packers & Movers,,,Bhuj,Test
Babysitters,,,Bhuj,Test
Caretakers/Elder Care,,,Bhuj,Test
Physiotherapists,,,Bhuj,Test
Nutritionists/Dieticians,,,Bhuj,Test
Yoga/Fitness Trainers,,,Bhuj,Test
Event Planners,,,Bhuj,Test
Decoration Services,,,Bhuj,Test
Caterers,,,Bhuj,Test
Photographer/Videographer,,,Bhuj,Test
CA/Tax Consultants,,,Bhuj,Test
GST/Accounting Services,,,Bhuj,Test
Printing & Flex Banner,,,Bhuj,Test
Digital Marketing,,,Bhuj,Test
Graphic Designers,,,Bhuj,Test
Hardware Stores,,,Bhuj,Test
Electrical Stores,,,Bhuj,Test
Stationery,,,Bhuj,Test
Courier Services,,,Bhuj,Test
Notary/Legal Services,,,Bhuj,Test
Astrology/Vaastu,,,Bhuj,Test
Tent & Sound System,,,Bhuj,Test
Flower Shops,,,Bhuj,Test
Ice Delivery,,,Bhuj,Test
Milk Delivery,,,Bhuj,Test
Sweet Shops/Mithai,,,Bhuj,Test
Cold Storage,,,Bhuj,Test
Jewellers,,,Bhuj,Test
Agricultural Implements,,,Bhuj,Test
Veterinary/Animal Care,,,Bhuj,Test
Ambulance,,,Bhuj,Test
Blood Bank,,,Bhuj,Test
Fire Services,,,Bhuj,Test
Emergency Electrician,,,Bhuj,Test
Emergency Plumber,,,Bhuj,Test
Disaster Repair,,,Bhuj,Test
Plumber,Khenghar,9712260317,Bhuj,
Plumber,Jakhubhai,9099195439,Bhuj,
Plumber,Soni,9726946507,Bhuj,
Masons,Tejo Kadio,9909278215, 990-988-3577,
Electrician,Gadhvibhai,9664683327,,
Electrician,Kuldeep,9978222401,7567515337,
Tiles Fitter,Ravendra,9979476086,Bhuj,
Tiles Fitter,Samji,9825777326,Bhuj,
Tiles Fitter,Narsinhbhai,9879766942,Bhuj,
Tiles Fitter,Prakashbhai,9913508113,Bhuj,
Tiles Fitter,Ajaybhai,9664980323,9978392885,
Tiles Fitter,Jagdish Kumavat,9586663382,Bhuj,
Tiles Fitter,Jaylila Tiles,9727726209,Bhuj,
Tank Cleaning,Mukesh Goswami,7069147471,Bhuj,
Tank Cleaning,Ramesh Tank Cleaner,9978703032,Bhuj,
Water Tanker Services,Shiv Tanker Services,9825223373,Bhuj,
Electrician,Harishbhai,9725222469,Bhuj,
Laundry / Dhobi,Shahil,7359361293,,
Plumber,Kirit Maraj,9429341473,,`
Computer Laptop repairs,Pioneer Computer Services,9825034580,,
Medical store,Shree krishna pharma,8160839445,,
Insurance Agent,D HITESH SONI,9825311409,,
Ac fridge repairer,Lunai electronics&refrigeration,9825758132,,
Stationer's,"Paras K.Thacker, Silver Gen .Store and Stationers",8160903077,,
Financial advisor,OM ENTERPRISE ( AMIT DALAL),9925551966,,
Notary,Gor Shilpa Jayantilal,9825747693,,
Financial advisor,VIRAL HARESHBHAI THACKER,9687598799,,
RO water purifier,Lanai Electronics & Refrigeration,9825758132,,
Legal Services/ Lawyer,Gor Shilpa Jayantilal,9825747693,,
Kirana Stores,MEHTA SHAILESH VINODCHANDRA,9712422258,,
Cloths Merchant,Vijaykumar A. Thacker,87806 84076,,
Electrician,Lanai electronics &refrigeration,98257 58132,,
Fashion Designer,Nitin K . Modh,9374335897,,
Stationer's,"Paras K.Thacker, SILVER GENERAL STORE AND Stationers",8160903077,,
Coaching classes,"BIJLANI CLASSES , std 1 to 10 ( all subjects) , 11,12 science ( CHEMISTRY)",9825155352,,
